Date,Low,High,Close,Open
2022-04-28,2806.0,2918.75,2891.93,2843.56
2022-04-27,2715.67,2838.97,2763.34,2803.83
2022-04-26,2778.59,2897.115,2787.82,2896.0
2022-04-25,2846.1309,2924.43,2921.48,2880.46
2022-04-22,2873.9501,2992.3,2887.0,2965.0
2022-04-21,2951.79,3134.76,2965.92,3094.28
2022-04-20,3072.07,3152.05,3079.96,3152.05
2022-04-19,3031.01,3172.98,3162.31,3040.59
2022-04-18,3005.01,3080.79,3055.7,3030.47
2022-04-14,3029.435,3117.94,3034.13,3107.8
2022-04-13,2992.0,3120.5,3110.82,3000.37
2022-04-12,3007.66,3101.98,3015.75,3073.85
2022-04-11,3010.69,3082.7299,3022.44,3054.26
2022-04-08,3084.615,3147.37,3089.21,3135.0
2022-04-07,3090.23,3201.58,3155.69,3168.0
2022-04-06,3145.09,3244.0,3175.12,3233.01
2022-04-05,3265.3201,3362.21,3281.1,3354.83
2022-04-04,3264.11,3367.89,3366.93,3282.5
2022-04-01,3246.39,3316.54,3271.2,3282.99
2022-03-31,3259.07,3329.9,3259.95,3328.895
2022-03-30,3310.0,3379.01,3326.02,3370.19
2022-03-29,3357.37,3416.63,3386.3,3407.68
2022-03-28,3298.0,3380.75,3379.81,3299.5
2022-03-25,3245.0,3307.37,3295.47,3280.0
2022-03-24,3201.0,3282.37,3272.99,3274.99
2022-03-23,3253.74,3327.4,3268.16,3274.1
2022-03-22,3233.98,3323.34,3297.78,3236.11
2022-03-21,3191.06,3261.68,3229.83,3222.415
2022-03-18,3120.22,3231.88,3225.01,3136.26
2022-03-17,3042.8,3149.97,3144.78,3052.81
2022-03-16,2947.07,3063.0,3062.08,2970.0
2022-03-15,2840.0,2959.7,2947.33,2857.0
2022-03-14,2817.68,2949.0,2837.06,2919.62
2022-03-11,2907.38,2993.5,2910.49,2991.49
2022-03-10,2879.56,2973.485,2936.35,2913.7
2022-03-09,2736.56,2805.0,2785.58,2790.0
2022-03-08,2671.45,2813.99,2720.29,2733.67
2022-03-07,2748.33,2921.89,2749.06,2908.87
2022-03-04,2876.14,2957.0,2912.82,2943.18
2022-03-03,2937.12,3078.58,2957.97,3070.63
2022-03-02,2975.0,3059.99,3041.05,3016.98
2022-03-01,2999.54,3081.98,3022.84,3054.65
2022-02-28,3017.0,3089.0,3071.26,3048.5
2022-02-25,2984.27,3079.8,3075.77,3011.0
2022-02-24,2790.0,3034.98,3027.16,2796.75
2022-02-23,2893.02,3035.26,2896.54,3033.01
2022-02-22,2969.71,3059.65,3003.95,3009.57
2022-02-18,3017.86,3109.99,3052.03,3109.99
2022-02-17,3090.0,3206.975,3093.05,3162.92
2022-02-16,3094.69,3176.68,3162.01,3115.81
2022-02-15,3092.75,3160.14,3130.21,3152.11
2022-02-14,3033.0,3168.9663,3103.34,3035.02
2022-02-11,3054.675,3180.0,3065.87,3162.6902
2022-02-10,3155.0,3214.33,3180.07,3167.0
2022-02-09,3205.0,3276.69,3223.79,3257.47
2022-02-08,3111.01,3235.85,3228.27,3135.01
2022-02-07,3145.0,3253.815,3158.71,3170.4
2022-02-04,3012.16,3224.0,3152.79,3112.13
2022-02-03,2766.66,2884.95,2776.91,2834.75
2022-02-02,2977.2717,3101.5,3012.25,3101.0085
2022-02-01,2952.5548,3034.16,3023.87,3000.0
2022-01-31,2886.0101,3007.21,2991.47,2895.0
2022-01-28,2758.585,2879.96,2879.56,2817.21
2022-01-27,2787.0,2884.87,2792.75,2816.0
2022-01-26,2746.37,2903.695,2777.45,2895.0
2022-01-25,2762.9,2872.0,2799.72,2844.85
2022-01-24,2707.04,2898.9,2890.88,2780.0
2022-01-21,2841.408,3018.0,2852.86,2999.0
2022-01-20,3027.02,3160.0,3033.35,3135.32
2022-01-19,3125.0,3185.0,3125.98,3175.24
2022-01-18,3153.29,3194.6899,3178.35,3182.1
